 ,Label,Area,Mean
109,10_10.tif_C2:Nucleus-C2,1.337,2752.445
110,10_10.tif_C2:Intersection-C2,0.888,2816.619
111,10_10.tif_C1:Nucleus-C1,1.273,2087.540
112,10_10.tif_C1:Intersection-C1,0.550,2099.283
113,10_11.tif_C2:Nucleus-C2,1.301,2655.190
114,10_11.tif_C2:Intersection-C2,0.696,2732.697
115,10_11.tif_C1:Nucleus-C1,1.301,2237.099
116,10_11.tif_C1:Intersection-C1,0.385,2298.024
117,10_12.tif_C2:Nucleus-C2,1.273,2704.878
118,10_12.tif_C2:Intersection-C2,0.714,2946.372
119,10_12.tif_C1:Nucleus-C1,0.962,2405.686
120,10_12.tif_C1:Intersection-C1,0.385,2374.238
121,10_13.tif_C2:Nucleus-C2,1.117,2821.779
122,10_13.tif_C2:Intersection-C2,0.595,3032.985
123,10_13.tif_C1:Nucleus-C1,1.154,2168.079
124,10_13.tif_C1:Intersection-C1,0.293,2235.562
125,10_14.tif_C2:Nucleus-C2,1.117,2648.402
126,10_14.tif_C2:Intersection-C2,0.678,2855.189
127,10_14.tif_C1:Nucleus-C1,1.218,2090.233
128,10_14.tif_C1:Intersection-C1,0.449,2110.122
129,10_15.tif_C2:Nucleus-C2,1.273,2600.144
130,10_15.tif_C2:Intersection-C2,0.898,2804.694
131,10_15.tif_C1:Nucleus-C1,1.172,2165.508
132,10_15.tif_C1:Intersection-C1,0.614,2204.000
133,10_16.tif_C2:Nucleus-C2,1.117,2647.270
134,10_16.tif_C2:Intersection-C2,0.760,2727.072
135,10_16.tif_C1:Nucleus-C1,1.246,2013.868
136,10_16.tif_C1:Intersection-C1,0.586,2014.031
137,10_17.tif_C2:Nucleus-C2,1.301,2502.972
138,10_17.tif_C2:Intersection-C2,0.797,2760.529
139,10_17.tif_C1:Nucleus-C1,1.200,2125.015
140,10_17.tif_C1:Intersection-C1,0.550,2273.433
141,10_18.tif_C2:Nucleus-C2,1.163,2623.260
142,10_18.tif_C2:Intersection-C2,0.522,2930.526
143,10_18.tif_C1:Nucleus-C1,1.007,2465.436
144,10_18.tif_C1:Intersection-C1,0.779,2661.553
145,10_19.tif_C2:Nucleus-C2,1.218,2397.925
146,10_19.tif_C2:Intersection-C2,0.659,2626.042
147,10_19.tif_C1:Nucleus-C1,1.227,2115.746
148,10_19.tif_C1:Intersection-C1,0.714,2098.731
149,10_20.tif_C2:Nucleus-C2,1.209,2331.159
150,10_20.tif_C2:Intersection-C2,0.650,2511.239
151,10_20.tif_C1:Nucleus-C1,1.191,2127.662
152,10_20.tif_C1:Intersection-C1,0.614,2288.627
