LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID100102,100102,107,403.2725830078125,25.71949562715336,10.710476590467177,0.0,52.0,52,0.25,1,,1211.1351351351354,1093.0,466.0,2270.0,44812.0,556.7299446151887,985.7297297297298,902.0,516.0,1874.0,36472.0,325.9910231082248,1660.864864864865,1489.0,1133.0,2518.0,61452.0,397.1388759449102,0.06416627894950482,0.26234656349887614,0.14566747615200806,0.7689289657918845,0.17784838450850168,1.262939147149857
ID94985,94985,107,365.7950744628906,25.52255125137214,10.510471127456741,0.0,19.0,19,0.25,1,,721.4864864864867,643.0,510.0,1455.0,26695.0,213.17098270606124,875.7297297297297,769.0,488.0,1820.0,32402.0,332.59974683031794,1776.027027027027,1727.0,1136.0,2688.0,65713.0,426.88506692125037,-0.07242748381976141,-0.5285494621269189,-0.013799309493878482,-0.07368349678280485,0.16287684529022917,1.1654515645637917
ID90632,90632,107,360.8587646484375,25.193439855732542,10.665009941457983,0.0,1.0,1,0.25,1,,1247.918918918919,1071.0,572.0,2623.0,46173.0,532.3846968738541,1379.0270270270273,1310.0,758.0,2236.0,51024.0,432.80701925444316,1962.972972972973,1809.0,1304.0,3324.0,72630.0,493.2608891902994,0.03283825019444005,0.14905223593238845,0.08405073185132016,0.4940835221875071,0.09646793580954414,0.7002525257299107
ID96776,96776,107,323.53851318359375,25.77941455937564,10.591406229558464,0.0,29.0,29,0.25,1,,1009.7297297297297,903.0,399.0,2073.0,37360.0,446.1087092632025,1126.6216216216217,1177.0,561.0,1713.0,41685.0,294.3563931464479,1630.216216216216,1584.0,1033.0,2674.0,60318.0,372.01531742173785,-0.01747370500922796,-0.08050729870684008,0.06495747814239704,0.4669081912106734,0.13181829797209738,1.0207358577132726
ID92814,92814,107,535.361572265625,25.263176450773276,9.958807604953579,0.0,9.0,9,0.25,1,,816.6756756756755,817.0,411.0,1435.0,30217.0,228.13093877250677,982.0270270270271,873.0,529.0,1534.0,36335.0,303.2558954713628,1806.972972972973,1636.0,1074.0,3245.0,66858.0,579.930287308861,-0.008543222636464039,-0.061694062191009855,0.0018528105797769772,0.011977640794999078,0.18669752747993806,0.9804024564306343
ID97294,97294,107,403.9825744628906,25.939789706988666,10.384564408381937,0.0,33.0,33,0.25,1,,601.0270270270271,551.0,440.0,950.0,22238.0,143.38613106776603,685.7027027027026,640.0,382.0,1300.0,25371.0,236.07588997147894,1705.8918918918919,1605.0,1098.0,2612.0,63118.0,415.0812359435589,-0.11934082184671384,-1.1360514743756227,-0.016963807756427644,-0.10024623163673382,0.17306663109376044,1.212660015968838
ID93840,93840,107,413.6024475097656,25.68092171683621,10.611507800231085,0.0,14.0,14,0.25,1,,748.4324324324325,688.0,458.0,1584.0,27692.0,265.56496804407817,915.7027027027028,840.0,481.0,1785.0,33881.0,310.22526446876424,1670.4594594594594,1598.0,971.0,2994.0,61807.0,505.45329461091956,-0.06311781385015919,-0.3797333816269892,-0.02927511246935327,-0.17803678213698204,0.13415937374296358,0.7818651214231988
ID98965,98965,107,270.0368347167969,25.450782724781554,10.511945638920269,0.0,45.0,45,0.25,1,,1547.0540540540542,1311.0,689.0,3821.0,57241.0,786.2852869999238,1264.2162162162163,1255.0,640.0,2133.0,46776.0,352.0499597701641,1654.1621621621623,1667.0,1162.0,2188.0,61204.0,217.63891011304753,0.023998787296887824,0.09222426206971691,0.11238687919084024,0.7256159281718196,0.14676778299025456,1.9454800703708293
ID97940,97940,107,335.01483154296875,25.618779312007874,10.540386900611791,0.0,39.0,39,0.25,1,,1040.9189189189187,1110.0,464.0,1680.0,38514.0,341.1490695981563,1128.7297297297298,1078.0,625.0,1771.0,41763.0,313.4246009497029,1531.8918918918919,1443.0,1060.0,2513.0,56680.0,373.9451670873525,0.002336622617212455,0.01422583227605203,0.10354807345124148,0.6758302773651135,0.13021945412747032,0.9439810595742438
ID94747,94747,107,254.80979919433594,25.69905534500105,10.148587380283107,0.0,18.0,18,0.25,1,,560.7567567567568,537.0,425.0,867.0,20748.0,104.64129347585637,676.8648648648649,640.0,430.0,1133.0,25044.0,185.7529964110288,1525.5405405405406,1427.0,1026.0,2211.0,56445.0,333.97534794207945,-0.10848096123723337,-1.3041402960606203,-0.05033630130681138,-0.38628478449409503,0.11568123259600788,0.9472445555145876
ID94618,94618,107,428.099365234375,25.713971556703317,10.20092251522709,0.0,17.0,17,0.25,1,,650.7297297297298,624.0,468.0,883.0,24077.0,115.40885019227383,698.4594594594594,672.0,475.0,1275.0,25843.0,163.5749224522367,1761.7837837837837,1767.0,1040.0,2827.0,65186.0,442.273867840023,-0.04179725198738416,-0.49190569159721814,-0.0382128223240509,-0.3393005848591261,0.1742157454358771,1.182036339467568
ID100250,100250,107,212.5600128173828,26.07926432675264,10.274373368137685,0.0,53.0,53,0.25,1,,753.1891891891892,660.0,403.0,1937.0,27868.0,338.4182026426473,688.0540540540541,620.0,379.0,1338.0,25458.0,236.67863185081745,1448.378378378378,1527.0,775.0,1945.0,53590.0,285.611950356049,-0.07544128919830206,-0.3632076318852705,-0.036934369897205555,-0.2229812336739883,0.10165022759451449,0.9358371482076162
ID96671,96671,107,498.3669128417969,25.848437322073913,10.375390918254464,0.0,30.0,30,0.25,1,,1010.4594594594596,903.0,548.0,2011.0,37387.0,330.81142619277784,819.5135135135137,760.0,517.0,1823.0,30322.0,274.67734825727007,1858.0270270270266,1768.0,1179.0,3186.0,68747.0,503.53166547709606,-0.013786590206005643,-0.08539930794248526,-5.213226154260193E-4,-0.0031124064089812532,0.1817331591152695,1.134932387830282
