"","rn","CELL","FRAME","NucleusMean_Ch2","IntersectionMean_Ch2","NucleusMean_Ch1","IntersectionMean_Ch1","NFratio_Ch2","NFratio_Ch1","T0Means_Ch2","T0Means_Ch1","ScaledINT_Ch2","ScaledINT_Ch1","TIME","Ch1_1stSlope","Ch1_2ndSlope","Ch2_1stSlope","Ch2_2ndSlope"
"1","19","108","00",1834.438,1775.667,1806.512,1666.75,0.967962395022345,0.922634336223618,0.967962395022345,0.922634336223618,0,0,15,NA,NA,NA,NA
"2","20","108","01",1825.817,1836.656,1798.396,1808.803,1.00593652047275,1.00578682336927,0.967962395022345,0.922634336223618,0.0392309924907066,0.0901250732614158,25,0.00901250732614158,NA,0.00392309924907066,NA
"3","21","108","04",1801.165,1922.271,1803.346,1878.137,1.06723759344646,1.04147346099972,0.967962395022345,0.922634336223618,0.102561007467472,0.128804142779376,55,0.00128930231726534,-0.000257440166962541,0.00211100049922552,-6.04032916615046e-05
"4","22","108","05",1717.682,1809.843,1793.669,1747.104,1.05365428525187,0.974039245814027,0.967962395022345,0.922634336223618,0.0885281191399441,0.055715365852101,65,-0.0073088776927275,-0.000859818000999284,-0.00140328883275282,-0.000351428933197835
"5","23","108","06",1709.423,1692.169,1849.236,1733.2,0.989906535714098,0.937251924578583,0.967962395022345,0.922634336223618,0.022670447534531,0.0158433170987278,75,-0.00398720487533732,0.000332167281739018,-0.00658576716054131,-0.000518247832778849
"6","24","108","07",1770.892,1724.368,1824.351,1775.81,0.973728493888955,0.973392729798158,0.967962395022345,0.922634336223618,0.00595694512127976,0.0550146375240022,85,0.00391713204252744,0.000790433691786476,-0.00167135024132512,0.000491441691921619
"7","25","108","08",1713.091,1647.726,1785.912,1609.757,0.961843824992368,0.901364120964527,0.967962395022345,0.922634336223618,-0.00632108236997742,-0.0230537867755397,95,-0.00780684242995419,-0.00117239744724816,-0.00122780274912572,4.43547492199403e-05
"8","26","108","09",1723.296,1691.311,1829.327,1758.542,0.981439636603346,0.961305441837353,0.967962395022345,0.922634336223618,0.0139233111227326,0.0419137941169825,105,0.00649675808925222,0.00143036005192064,0.002024439349271,0.000325224209839672
"9","27","108","11",1732.51,1782.077,1814.177,1881.093,1.02860993587339,1.03688504484403,0.967962395022345,0.922634336223618,0.0626548522576038,0.123830974130056,125,0.00409585900065368,-0.000120044954429927,0.00243657705674356,2.0606885373628e-05
"10","28","108","12",1706.72,1811.989,1851.086,1914.841,1.06167912721477,1.03444194381028,0.967962395022345,0.922634336223618,0.0968185672029815,0.121183011727374,135,-0.000264796240268228,-0.000436065524092191,0.00341637149453777,9.79794437794212e-05
"11","29","108","13",1651.855,1687.67,1752.215,1714.847,1.0216816851358,0.978673849955628,0.967962395022345,0.922634336223618,0.0554972903799813,0.06073859548885,145,-0.00604444162385238,-0.000577964538358415,-0.00413212768230002,-0.00075484991768378
"12","30","108","14",1666.517,1890.741,1776.081,1955.832,1.13454648227411,1.10120653281016,0.967962395022345,0.922634336223618,0.172097684898098,0.193546012299353,155,0.0132807416810503,0.00193251833049026,0.0116600394518117,0.00157921671341117
