 ,Label,Area,Mean
109,108_11.tif_C1:Nucleus-C1,2.592,1814.177
110,108_11.tif_C1:Intersection-C1,0.788,1881.093
111,108_12.tif_C2:Nucleus-C2,2.684,1706.720
112,108_12.tif_C2:Intersection-C2,0.870,1811.989
113,108_12.tif_C1:Nucleus-C1,2.546,1851.086
114,108_12.tif_C1:Intersection-C1,0.806,1914.841
115,108_13.tif_C2:Nucleus-C2,3.160,1651.855
116,108_13.tif_C2:Intersection-C2,0.833,1687.670
117,108_13.tif_C1:Nucleus-C1,2.848,1752.215
118,108_13.tif_C1:Intersection-C1,0.898,1714.847
119,108_14.tif_C2:Nucleus-C2,2.940,1666.517
120,108_14.tif_C2:Intersection-C2,1.026,1890.741
121,108_14.tif_C1:Nucleus-C1,2.830,1776.081
122,108_14.tif_C1:Intersection-C1,0.980,1955.832
123,108_15.tif_C2:Nucleus-C2,3.087,1650.365
124,108_15.tif_C2:Intersection-C2,1.026,1929.071
125,108_15.tif_C1:Nucleus-C1,2.500,1808.883
126,108_15.tif_C1:Intersection-C1,1.026,2077.455
127,108_16.tif_C2:Nucleus-C2,3.068,1629.988
128,108_16.tif_C2:Intersection-C2,0.943,1754.553
129,108_16.tif_C1:Nucleus-C1,2.711,1802.787
130,108_16.tif_C1:Intersection-C1,0.779,1866.600
131,108_17.tif_C2:Nucleus-C2,2.995,1625.101
132,108_17.tif_C2:Intersection-C2,1.017,1733.694
133,108_17.tif_C1:Nucleus-C1,2.775,1762.452
134,108_17.tif_C1:Intersection-C1,0.953,1846.721
135,108_18.tif_C2:Nucleus-C2,3.105,1621.395
136,108_18.tif_C2:Intersection-C2,0.898,1658.296
137,108_18.tif_C1:Nucleus-C1,2.528,1842.156
138,108_18.tif_C1:Intersection-C1,0.705,1863.208
139,108_19.tif_C2:Nucleus-C2,2.610,1688.088
140,108_19.tif_C2:Intersection-C2,0.742,1735.531
141,108_19.tif_C1:Nucleus-C1,3.416,1688.198
142,108_19.tif_C1:Intersection-C1,0.788,1760.605
143,108_20.tif_C2:Nucleus-C2,3.215,1583.011
144,108_20.tif_C2:Intersection-C2,0.925,1754.673
145,108_20.tif_C1:Nucleus-C1,2.510,1821.850
146,108_20.tif_C1:Intersection-C1,0.815,1956.787
147,108_21.tif_C2:Nucleus-C2,2.757,1639.389
148,108_21.tif_C2:Intersection-C2,0.888,1714.773
149,108_21.tif_C1:Nucleus-C1,2.986,1740.564
150,108_21.tif_C1:Intersection-C1,0.815,1849.022
151,108_22.tif_C2:Nucleus-C2,3.132,1569.494
152,108_22.tif_C2:Intersection-C2,0.687,1554.227
153,108_22.tif_C1:Nucleus-C1,2.858,1746.125
154,108_22.tif_C1:Intersection-C1,0.458,1765.300
155,108_23.tif_C2:Nucleus-C2,3.096,1568.802
156,108_23.tif_C2:Intersection-C2,1.026,1714.348
157,108_23.tif_C1:Nucleus-C1,2.803,1785.033
158,108_23.tif_C1:Intersection-C1,0.953,1901.481
159,11_00.tif_C2:Nucleus-C2,3.206,1375.063
160,11_00.tif_C2:Intersection-C2,0.980,1626.047
161,11_00.tif_C1:Nucleus-C1,1.951,1727.540
162,11_00.tif_C1:Intersection-C1,0.980,1881.972
163,11_01.tif_C2:Nucleus-C2,2.482,1471.461
164,11_01.tif_C2:Intersection-C2,1.026,1662.429
165,11_01.tif_C1:Nucleus-C1,2.345,1560.645
166,11_01.tif_C1:Intersection-C1,1.026,1819.366
167,11_02.tif_C2:Nucleus-C2,2.235,1455.213
168,11_02.tif_C2:Intersection-C2,0.971,1553.160
169,11_02.tif_C1:Nucleus-C1,2.271,1622.685
170,11_02.tif_C1:Intersection-C1,1.026,1781.875
171,11_03.tif_C2:Nucleus-C2,2.042,1473.480
172,11_03.tif_C2:Intersection-C2,0.953,1610.817
173,11_03.tif_C1:Nucleus-C1,1.795,1684.852
174,11_03.tif_C1:Intersection-C1,1.026,1866.161
175,11_04.tif_C2:Nucleus-C2,2.748,1398.920
176,11_04.tif_C2:Intersection-C2,0.962,1573.800
177,11_04.tif_C1:Nucleus-C1,1.951,1682.596
178,11_04.tif_C1:Intersection-C1,0.989,1915.148
179,11_05.tif_C2:Nucleus-C2,3.719,1289.751
180,11_05.tif_C2:Intersection-C2,1.017,1464.162
181,11_06.tif_C2:Nucleus-C2,3.865,1279.609
182,11_06.tif_C2:Intersection-C2,1.026,1542.643
