"","rn","CELL","FRAME","NucleusMean_Ch2","IntersectionMean_Ch2","NucleusMean_Ch1","IntersectionMean_Ch1","NFratio_Ch2","NFratio_Ch1","T0Means_Ch2","T0Means_Ch1","ScaledINT_Ch2","ScaledINT_Ch1","TIME","Ch1_1stSlope","Ch1_2ndSlope","Ch2_1stSlope","Ch2_2ndSlope"
"1","20","108","00",2353.487,2209.588,2485.583,2281.111,0.938857108622227,0.917736804604795,0.938857108622227,0.917736804604795,0,0,15,NA,NA,NA,NA
"2","21","108","01",2408.042,2369.186,2456.812,2262.619,0.983864068816076,0.920957321927767,0.938857108622227,0.917736804604795,0.0479380299520722,0.0035091949094912,25,0.00035091949094912,NA,0.00479380299520722,NA
"3","22","108","04",2285.642,2364,2319.438,2323.429,1.03428270919068,1.00172067543948,0.938857108622227,0.917736804604795,0.101640174731688,0.0915119350267886,55,0.00293342467057658,8.6083505987582e-05,0.00179007149265387,-0.000100124383418445
"4","23","108","05",2133.682,2165.583,2381.497,2219.367,1.01495115017139,0.931920972396774,0.938857108622227,0.917736804604795,0.0810496515927057,0.0154555943717298,65,-0.00760563406550587,-0.00105390587360825,-0.00205905231389827,-0.000384912380655214
"5","24","108","06",2136.322,2045.409,2296.484,2018.033,0.957444149337038,0.87874899193724,0.938857108622227,0.917736804604795,0.0197975182209433,-0.042482564142499,75,-0.00579381585142288,0.000181181821408299,-0.00612521333717624,-0.000406616102327797
"6","25","108","07",2262.057,2247.196,2425.456,2217.35,0.993430315858531,0.91419922686703,0.938857108622227,0.917736804604795,0.0581272770213024,-0.0038546756760921,85,0.00386278884664069,0.000965660469806356,0.00383297588003591,0.000995818921721214
"7","26","108","08",2181.431,2136.775,2402.573,2280.731,0.979529033923145,0.949286868702845,0.938857108622227,0.917736804604795,0.0433206767328029,0.0343781179307028,95,0.00382327936067949,-3.9509485961198e-06,-0.00148066002884994,-0.000531363590888585
"8","27","108","09",2264.585,2292.05,2326.052,2341.719,1.01212804995176,1.00673544701494,0.938857108622227,0.917736804604795,0.0780426975059656,0.0969762157991176,105,0.00625980978684149,0.0002436530426162,0.00347220207731627,0.000495286210616621
"9","28","108","11",2196.758,2116,2432.631,2296.635,0.963237643836963,0.944095097036912,0.938857108622227,0.917736804604795,0.0259683129528778,0.0287209713066567,125,-0.00341276222462304,-0.000483628600573227,-0.00260371922765439,-0.000303796065248533
"10","29","108","12",2113.593,2161.761,2392.281,2447.141,1.02278962884529,1.0229320886635,0.938857108622227,0.917736804604795,0.0893986097056156,0.114624676193522,135,0.00859037048868656,0.00120031327133096,0.00634302967527378,0.000894674890292817
"11","30","108","13",2031.621,2009.567,2266.775,2179.534,0.989144628845636,0.961513162973828,0.938857108622227,0.917736804604795,0.05356248545341,0.0477003408268943,145,-0.0066924335366628,-0.00152828040253494,-0.00358361242522056,-0.000992664210049434
"12","31","108","14",2168.043,2377.367,2266.928,2447.814,1.09654974555394,1.07979344734372,0.938857108622227,0.917736804604795,0.167962340044617,0.176582917810199,155,0.0128882576983305,0.00195806912349933,0.0114399854591207,0.00150235978843412
"13","32","108","15",2039.621,2242.214,2326.324,2546.902,1.0993287478409,1.09481826263238,0.938857108622227,0.917736804604795,0.170922324329165,0.192954512817907,165,0.00163715950077083,-0.00112510981975596,0.000295998428454802,-0.00111439870306659
"14","33","108","16",1969.362,2050.64,2300.403,2409.067,1.04127123403417,1.04723694065779,0.938857108622227,0.917736804604795,0.109083825931972,0.141108142773855,175,-0.00518463700440528,-0.000682179650517611,-0.00618384983971925,-0.000647984826817405
"15","34","108","17",2052.263,2171.053,2230.919,2347.697,1.05788244489132,1.05234524426929,0.938857108622227,0.917736804604795,0.126776838750004,0.146674339515523,185,0.000556619674166869,0.000574125667857215,0.00176930128180315,0.00079531511215224
"16","35","108","18",1989.389,1966.057,2461.064,2438.473,0.988271775907075,0.990820636927768,0.938857108622227,0.917736804604795,0.0526327881325452,0.0796348495083459,195,-0.00670394900071773,-0.00072605686748846,-0.00741440506174587,-0.000918370634354901
"17","36","108","19",2024.891,2151,2279.197,2334.04,1.06227940170607,1.02406242198458,0.938857108622227,0.917736804604795,0.131460146544517,0.11585632922892,205,0.0036221479720574,0.00103260969727751,0.00788273584119719,0.00152971409029431
"18","37","108","20",1958.826,2034.917,2512.106,2744.29,1.0388452062613,1.09242603616249,0.938857108622227,0.917736804604795,0.106499803559891,0.190347854288047,215,0.00744915250591276,0.000382700453385536,-0.00249603429846266,-0.00103787701396598
"19","38","108","21",1850.853,1906.682,2375.295,2542.82,1.03016392982047,1.07052808177511,0.938857108622227,0.917736804604795,0.0972531606350959,0.166487032451649,225,-0.00238608218363985,-0.000983523468955261,-0.00092466429247946,0.00015713700059832
"20","39","108","22",1963.564,1975.585,2345.897,2367.84,1.00612203116374,1.00935377810705,0.938857108622227,0.917736804604795,0.0716455378819307,0.0998292462965029,235,-0.00666577861551461,-0.000427969643187476,-0.00256076227531652,-0.000163609798283706
"21","40","108","23",1976.725,2057.717,2419.227,2513.218,1.04097282120679,1.03885166625538,0.938857108622227,0.917736804604795,0.108765979025734,0.131971237333931,245,0.00321419910374285,0.000987997771925746,0.00371204411438035,0.000627280638969687
"22","61","12","00",2376.948,2559.144,2177.932,2236.573,1.07665123511326,1.02692508306044,1.07665123511326,1.02692508306044,0,0,15,NA,NA,NA,NA
"23","62","12","01",2383.799,2541.465,2184.053,2300.455,1.06614064356936,1.0532963256844,1.07665123511326,1.02692508306044,-0.00976229924892602,0.025679811564606,25,0.0025679811564606,NA,-0.000976229924892602,NA
