 ,Label,Area,Mean
109,108_11.tif_C2:Nucleus-C2,1.667,2196.758
110,108_11.tif_C2:Intersection-C2,0.522,2116.000
111,108_11.tif_C1:Nucleus-C1,1.612,2432.631
112,108_11.tif_C1:Intersection-C1,0.577,2296.635
113,108_12.tif_C2:Nucleus-C2,1.667,2113.593
114,108_12.tif_C2:Intersection-C2,0.614,2161.761
115,108_12.tif_C1:Nucleus-C1,1.823,2392.281
116,108_12.tif_C1:Intersection-C1,0.650,2447.141
117,108_13.tif_C2:Nucleus-C2,1.887,2031.621
118,108_13.tif_C2:Intersection-C2,0.550,2009.567
119,108_13.tif_C1:Nucleus-C1,1.713,2266.775
120,108_13.tif_C1:Intersection-C1,0.531,2179.534
121,108_14.tif_C2:Nucleus-C2,1.685,2168.043
122,108_14.tif_C2:Intersection-C2,0.898,2377.367
123,108_14.tif_C1:Nucleus-C1,1.777,2266.928
124,108_14.tif_C1:Intersection-C1,0.788,2447.814
125,108_15.tif_C2:Nucleus-C2,1.859,2039.621
126,108_15.tif_C2:Intersection-C2,1.026,2242.214
127,108_15.tif_C1:Nucleus-C1,1.694,2326.324
128,108_15.tif_C1:Intersection-C1,1.026,2546.902
129,108_16.tif_C2:Nucleus-C2,1.923,1969.362
130,108_16.tif_C2:Intersection-C2,0.788,2050.640
131,108_16.tif_C1:Nucleus-C1,1.795,2300.403
132,108_16.tif_C1:Intersection-C1,0.550,2409.067
133,108_17.tif_C2:Nucleus-C2,1.740,2052.263
134,108_17.tif_C2:Intersection-C2,0.696,2171.053
135,108_17.tif_C1:Nucleus-C1,1.694,2230.919
136,108_17.tif_C1:Intersection-C1,0.696,2347.697
137,108_18.tif_C2:Nucleus-C2,1.859,1989.389
138,108_18.tif_C2:Intersection-C2,0.641,1966.057
139,108_18.tif_C1:Nucleus-C1,1.566,2461.064
140,108_18.tif_C1:Intersection-C1,0.504,2438.473
141,108_19.tif_C2:Nucleus-C2,1.759,2024.891
142,108_19.tif_C2:Intersection-C2,0.513,2151.000
143,108_19.tif_C1:Nucleus-C1,1.722,2279.197
144,108_19.tif_C1:Intersection-C1,0.458,2334.040
145,108_20.tif_C2:Nucleus-C2,1.786,1958.826
146,108_20.tif_C2:Intersection-C2,0.769,2034.917
147,108_20.tif_C1:Nucleus-C1,1.465,2512.106
148,108_20.tif_C1:Intersection-C1,0.568,2744.290
149,108_21.tif_C2:Nucleus-C2,2.052,1850.853
150,108_21.tif_C2:Intersection-C2,0.806,1906.682
151,108_21.tif_C1:Nucleus-C1,1.676,2375.295
152,108_21.tif_C1:Intersection-C1,0.559,2542.820
153,108_22.tif_C2:Nucleus-C2,1.722,1963.564
154,108_22.tif_C2:Intersection-C2,0.376,1975.585
155,108_22.tif_C1:Nucleus-C1,1.694,2345.897
156,108_22.tif_C1:Intersection-C1,0.229,2367.840
157,108_23.tif_C2:Nucleus-C2,1.768,1976.725
158,108_23.tif_C2:Intersection-C2,0.843,2057.717
159,108_23.tif_C1:Nucleus-C1,1.658,2419.227
160,108_23.tif_C1:Intersection-C1,0.714,2513.218
