 ,Label,Area,Mean
109,10_12.tif_C2:Nucleus-C2,2.455,1783.474
110,10_12.tif_C2:Intersection-C2,0.962,2016.800
111,10_12.tif_C1:Nucleus-C1,2.803,1410.069
112,10_12.tif_C1:Intersection-C1,0.742,1518.160
113,10_13.tif_C2:Nucleus-C2,2.189,1805.506
114,10_13.tif_C2:Intersection-C2,0.943,1927.874
115,10_13.tif_C1:Nucleus-C1,2.418,1472.477
116,10_13.tif_C1:Intersection-C1,0.577,1535.429
117,10_14.tif_C2:Nucleus-C2,2.400,1726.832
118,10_14.tif_C2:Intersection-C2,0.962,1946.276
119,10_14.tif_C1:Nucleus-C1,2.427,1442.698
120,10_14.tif_C1:Intersection-C1,0.687,1531.213
121,10_15.tif_C2:Nucleus-C2,2.519,1715.520
122,10_15.tif_C2:Intersection-C2,1.017,2015.234
123,10_16.tif_C2:Nucleus-C2,2.216,1722.975
124,10_16.tif_C2:Intersection-C2,1.026,1892.027
125,10_16.tif_C1:Nucleus-C1,3.288,1330.889
126,10_16.tif_C1:Intersection-C1,0.870,1532.179
127,10_17.tif_C2:Nucleus-C2,1.933,1751.583
128,10_17.tif_C2:Intersection-C2,0.925,1909.396
129,10_17.tif_C1:Nucleus-C1,3.032,1353.523
130,10_17.tif_C1:Intersection-C1,0.742,1551.284
131,10_19.tif_C2:Nucleus-C2,2.647,1593.405
132,10_19.tif_C2:Intersection-C2,0.943,1799.670
133,10_19.tif_C1:Nucleus-C1,3.013,1359.155
134,10_19.tif_C1:Intersection-C1,1.017,1514.144
135,10_20.tif_C2:Nucleus-C2,2.739,1559.284
136,10_20.tif_C2:Intersection-C2,0.962,1757.190
137,10_20.tif_C1:Nucleus-C1,2.363,1438.353
138,10_20.tif_C1:Intersection-C1,0.907,1580.465
139,103_00.tif_C2:Nucleus-C2,3.371,1695.046
140,103_00.tif_C2:Intersection-C2,0.614,1786.373
141,103_00.tif_C1:Nucleus-C1,3.077,1918.881
142,103_00.tif_C1:Intersection-C1,0.485,1885.981
143,103_01.tif_C2:Nucleus-C2,3.242,1663.672
144,103_01.tif_C2:Intersection-C2,0.833,1883.868
145,103_01.tif_C1:Nucleus-C1,2.839,1949.394
146,103_01.tif_C1:Intersection-C1,0.760,2083.470
147,103_02.tif_C2:Nucleus-C2,2.931,1707.028
148,103_02.tif_C2:Intersection-C2,0.998,1834.688
149,103_02.tif_C1:Nucleus-C1,2.647,1990.256
150,103_02.tif_C1:Intersection-C1,0.769,2091.083
151,103_03.tif_C2:Nucleus-C2,2.794,1699.538
152,103_03.tif_C2:Intersection-C2,0.971,1886.811
153,103_03.tif_C1:Nucleus-C1,2.500,2035.879
154,103_03.tif_C1:Intersection-C1,1.026,2198.562
155,103_04.tif_C2:Nucleus-C2,2.949,1646.658
156,103_04.tif_C2:Intersection-C2,0.971,1762.151
157,103_04.tif_C1:Nucleus-C1,2.482,1989.018
158,103_04.tif_C1:Intersection-C1,0.888,2188.289
159,103_05.tif_C2:Nucleus-C2,2.739,1680.672
160,103_05.tif_C2:Intersection-C2,0.907,1851.061
161,103_05.tif_C1:Nucleus-C1,2.766,1940.987
162,103_05.tif_C1:Intersection-C1,0.861,2125.500
