"","rn","Time","AverageINT_Ch1","AverageINT_Ch2","Ch1_firstSlope","Ch1_secondSlope","Ch2_firstSlope","Ch2_secondSlope"
"1","1",15,0,0,NA,NA,NA,NA
"2","2",25,-0.00633106133694918,-0.00922549050977925,-0.000633106133694918,NA,-0.000922549050977925,NA
"3","3",35,0.00372190228308293,0.0147603618284772,0.00100529636200321,0.000163840249569813,0.00239858523382564,0.000332113428480357
"4","4",45,0.00118278501567149,0.0110147290099706,-0.000253911726741144,-0.000125920808874436,-0.000374563281850655,-0.00027731485156763
"5","5",55,0.0182930353187438,0.0128936533652123,0.00171102503030723,0.000196493675704837,0.000187892435524169,5.62455717374825e-05
"6","6",65,0.00842406897309218,0.00947131615469708,-0.000986896634565158,-0.000269792166487238,-0.000342233721051521,-5.30126156575691e-05
"7","7",75,0.0205087822487332,0.0201535730606899,0.0012084713275641,0.000219536796212926,0.00106822569059928,0.00014104594116508
"8","8",85,0.0128944084681704,0.0207333450412773,-0.000761437378056287,-0.000196990870562039,5.79771980587437e-05,-0.000101024849254054
"9","9",95,0.0202046603978233,0.0281228632270051,0.000731025192965291,0.000149246257102158,0.000738951818572776,6.80974620514032e-05
"10","10",105,0.0212420277364494,0.0169605890285553,0.000103736733862617,-6.27288459102674e-05,-0.00111622741984498,-0.000185517923841776
"11","11",115,0.0161414645424822,0.0238457800367655,-0.000510056319396721,-6.13793053259338e-05,0.00068851910082102,0.0001804746520666
"12","12",125,0.0204302283410548,0.0232384032498436,0.000428876379857258,9.38932699253979e-05,-6.07376786921861e-05,-7.49256779513206e-05
"13","13",135,0.0260182558888668,0.0415544994237111,0.000558802754781203,1.29926374923946e-05,0.00183160961738674,0.000189234729607893
"14","14",155,0.014800340397164,0.0212773637205152,-0.00056089577458514,-5.59849264683172e-05,-0.00101385678515979,-0.000142273320127327
"15","15",165,0.0223344494784939,0.02629132079548,0.000753410908132991,0.000131430668271813,0.000501395707496482,0.000151525249265628
"16","16",175,0.0300022245914966,0.037119615166143,0.00076677751130027,1.33666031672788e-06,0.0010828294370663,5.8143372956982e-05
"17","17",185,0.0291483873917305,0.0336964053199041,-8.53837199766134e-05,-8.52161231276883e-05,-0.000342320984623894,-0.00014251504216902
"18","18",195,0.0260821550905144,0.0357354467135882,-0.000306623230121607,-2.21239510144993e-05,0.000203904139368413,5.46225123992306e-05
"19","19",205,0.0274769552311371,0.0278010902172888,0.000139480014062268,4.46103244183875e-05,-0.000793435649629944,-9.97339788998356e-05
"20","20",215,0.0344988012603136,0.0411020493951128,0.000702184602917646,5.62704588855378e-05,0.00133009591778241,0.000212353156741235
"21","21",225,0.030673485379823,0.032436187990048,-0.000382531588049062,-0.000108471619096671,-0.000866586140506485,-0.000219668205828889
"22","22",145,0.0256266395496749,0.0451719530440738,6.30855728768512e-05,-5.57021451157392e-06,-0.000159197063175322,-8.84236346663953e-06
